graph_id,stress,xing,xangle,iangle,ring
grafo2456.22,14.812623,2.0,0.9875773,86.880196,40.22221
grafo2457.37,82.95798,9.0,3.1926148,156.38914,109.26288
grafo2458.12,4.0464377,0.0,0.0,45.37934,16.434248
grafo2459.15,10.729917,3.0,2.03877,62.294575,30.48379
grafo2460.14,6.4790993,0.0,0.0,57.05217,20.034866
grafo2461.18,20.853857,6.0,2.0884807,65.59083,45.64201
grafo2462.31,51.087856,10.0,5.425081,131.15091,97.884
grafo2463.32,47.172096,6.0,1.7564969,127.0741,78.457245
grafo2464.34,32.493618,1.0,0.24662818,130.83794,64.130035
grafo2465.36,69.66582,9.0,4.9454765,154.30249,103.00481
grafo2466.14,4.1241693,0.0,0.0,58.88763,15.723239
grafo2467.16,11.478662,2.0,1.3932135,67.35271,30.683706
grafo2468.15,6.6629715,1.0,0.24312587,49.022293,25.95561
grafo2469.23,36.262623,15.0,5.246853,90.48259,77.346085
grafo2470.16,9.348934,1.0,0.30384928,58.755795,29.312407
grafo2471.14,8.695297,1.0,0.060702126,57.6042,24.557087
grafo2472.47,159.54736,30.0,16.5035,194.15074,181.23958
grafo2473.22,15.9861,1.0,0.041061375,83.344826,38.15263
grafo2474.22,16.329145,0.0,0.0,91.501656,32.59357
grafo2475.34,62.732357,13.0,5.459008,129.13837,109.30722
grafo2476.86,432.10065,18.0,9.288604,356.33072,309.03696
grafo2477.47,155.80177,15.0,7.1513205,195.15747,167.84755
grafo2478.47,154.58179,17.0,7.4312215,193.14195,167.50719
grafo2479.34,57.811966,4.0,1.5818721,128.39703,92.73387
grafo2480.18,12.785699,0.0,0.0,67.40972,35.267735
grafo2481.15,3.445336,0.0,0.0,57.37433,20.459848
grafo2482.15,7.7312226,0.0,0.0,62.582466,27.506643
grafo2483.25,42.657722,11.0,4.0421104,98.37178,80.72133
grafo2484.17,7.9948926,0.0,0.0,65.955444,25.32214
grafo2485.13,8.359421,2.0,0.80360615,45.617462,25.883892
grafo2486.15,5.2488146,0.0,0.0,59.57843,22.533596
grafo2487.15,7.2875814,1.0,0.596777,58.056488,27.225615
grafo2488.13,2.6667268,0.0,0.0,49.463215,14.894871
